City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
upernavik,24,GL,1570669239,48,72.79,-56.15,-2.95,1.661
ushuaia,75,AR,1570669240,94,-54.81,-68.31,4.0,18.5
zhigalovo,95,RU,1570669240,73,54.81,105.15,-6.57,3.352
carutapera,72,BR,1570669241,76,-1.2,-46.02,26.83,7.994
kodiak,75,US,1570669242,93,39.95,-94.76,16.11,4.6
ribeira grande,65,PT,1570669243,69,38.52,-28.7,17.08,2.173
richmond,1,CA,1570669243,45,49.16,-123.14,11.0,2.1
atar,89,MR,1570669244,16,20.52,-13.05,29.15,4.382
busselton,7,AU,1570669245,54,-33.64,115.35,20.0,1.717
caravelas,35,BR,1570669246,89,-17.73,-39.27,21.91,3.162
langenburg,100,CA,1570669246,74,50.84,-101.7,0.33,2.049
ilulissat,3,GL,1570669247,58,69.22,-51.1,-3.0,1.5
khatanga,84,RU,1570669248,93,71.98,102.47,-10.47,3.962
castro,75,CL,1570669248,93,-42.48,-73.76,10.0,4.1
jaciara,64,BR,1570669249,69,-15.95,-54.98,24.66,0.807
ancud,75,CL,1570669250,93,-41.87,-73.83,10.0,4.1
hambantota,75,LK,1570669251,100,6.12,81.12,23.0,1.0
avarua,100,CK,1570669143,73,-21.21,-159.78,23.0,6.2
severo-yeniseyskiy,0,RU,1570669252,74,60.37,93.04,-6.6,0.842
talnakh,0,RU,1570669253,79,69.49,88.39,-7.0,5.0
mataura,100,NZ,1570669254,91,-46.19,168.86,9.44,4.92
hasaki,40,JP,1570669255,68,35.73,140.83,22.0,4.1
rikitea,88,PF,1570669255,64,-23.12,-134.97,20.95,3.99
punta arenas,75,CL,1570669256,93,-53.16,-70.91,3.0,15.4
cayenne,1,GF,1570669257,83,4.94,-52.33,26.0,1.5
saint-philippe,1,CA,1570669258,93,45.36,-73.48,11.67,3.592
hermanus,89,ZA,1570669258,67,-34.42,19.24,10.56,0.89
albany,75,US,1570669259,54,42.65,-73.75,12.22,1.62
kapaa,1,US,1570669260,70,22.08,-159.32,29.0,3.6
bredasdorp,73,ZA,1570669260,81,-34.53,20.04,7.0,2.1
port hedland,39,AU,1570669261,21,-20.31,118.58,35.0,5.1
arucas,20,ES,1570669262,68,28.12,-15.52,22.0,5.7
camacha,75,PT,1570669263,72,33.08,-16.33,20.0,4.6
chokurdakh,0,RU,1570669263,86,70.62,147.9,-14.08,0.993
hay river,20,CA,1570669264,44,60.82,-115.79,3.0,3.6
jamestown,0,AU,1570669265,39,-33.21,138.6,16.31,3.76
yulara,0,AU,1570669114,10,-25.24,130.99,25.0,5.1
karratha,54,AU,1570669267,53,-20.74,116.85,27.12,3.115
placer,1,US,1570669268,29,42.63,-123.32,16.11,4.1
tuktoyaktuk,75,CA,1570669269,80,69.44,-133.03,2.0,3.6
torbay,5,CA,1570669269,87,47.66,-52.73,6.67,3.98
cacoal,69,BR,1570669270,66,-11.43,-61.44,26.43,2.996
yellowknife,75,CA,1570669271,51,62.45,-114.38,2.0,3.6
san angelo,1,US,1570669272,51,31.46,-100.44,28.89,5.923
tanout,87,NE,1570669272,61,14.97,8.88,25.41,4.016
conceicao da barra,19,BR,1570669273,79,-18.59,-39.73,24.83,7.512
warrenton,0,ZA,1570669274,81,-28.11,24.85,11.19,4.652
kruisfontein,7,ZA,1570669275,88,-34.0,24.73,8.19,1.855
san francisco,86,CO,1570669275,98,1.17,-76.88,10.28,0.81
tomatlan,84,MX,1570669276,96,19.93,-105.25,25.15,0.825
hilo,90,US,1570669277,70,19.71,-155.08,29.0,5.1
new norfolk,40,AU,1570669278,62,-42.78,147.06,13.33,5.7
cabo san lucas,5,MX,1570669279,45,22.89,-109.91,31.67,5.1
samana,45,EC,1570669280,91,0.12,-76.97,23.07,0.695
grindavik,60,IS,1570669280,75,63.84,-22.43,6.0,6.2
hofn,67,IS,1570669282,70,64.25,-15.21,7.21,7.601
segezha,100,RU,1570669282,97,63.74,34.31,1.64,4.826
ranong,20,TH,1570669283,100,9.96,98.62,25.0,1.34
chuy,49,UY,1570669284,60,-33.69,-53.46,17.3,3.68
korsakovo,84,RU,1570669284,92,53.27,37.36,4.96,4.67
provideniya,2,RU,1570669285,69,64.42,-173.23,3.0,6.0
mar del plata,0,AR,1570669286,33,-46.43,-67.52,14.07,10.062
hattiesburg,75,US,1570669287,78,31.33,-89.29,25.56,1.5
hobart,40,AU,1570669724,62,-42.88,147.33,13.33,5.7
thompson,75,CA,1570669289,50,55.74,-97.86,1.0,2.6
bluff,56,AU,1570669289,49,-23.58,149.07,24.18,4.995
salta,75,AR,1570669290,44,-24.79,-65.41,26.0,2.1
bull savanna,100,JM,1570669291,90,17.89,-77.59,23.73,1.19
alofi,75,NU,1570669292,69,-19.06,-169.92,27.0,6.2
butaritari,64,KI,1570669293,67,3.07,172.79,29.48,4.699
tilichiki,100,RU,1570669293,61,60.47,166.1,-2.36,3.691
barrow,0,AR,1570669294,60,-38.31,-60.23,8.36,1.492
katherine,41,AU,1570669295,15,-14.47,132.26,33.0,6.2
chulym,81,RU,1570669296,79,55.09,80.97,2.19,3.291
igarka,0,RU,1570669296,62,67.47,86.57,-3.96,4.865
egvekinot,5,RU,1570669297,72,66.32,-179.17,-5.82,1.829
dikson,48,RU,1570669298,89,73.51,80.55,-2.1,11.141
rincon,75,PA,1570669299,100,8.46,-82.28,24.0,1.0
touros,20,BR,1570669299,73,-5.2,-35.46,25.0,3.1
